variant_name,base_variant,strength,asv_eer,asr_wer,source_target_mean_score,source_similarity_reduction,eer_normalized_to_random,wer_capped_at_1,objective_score,before_tone_error_st_mean,after_tone_error_st_mean,tone_error_delta,before_f0_jump_ratio,after_f0_jump_ratio,f0_jump_delta,after_voiced_ratio,sample_blend_mean,tone_smoothness_proxy,naturalness_proxy
ppg_tune_balanced_phone_clean_male_s100,balanced_phone_clean_male,1.0,0.5416666666666667,0.6551724137931034,0.062132371589541435,0.9131770402932734,1.0,0.6551724137931034,0.8433845760758762,1.1457462906837463,1.0102994740009308,0.13544681668281555,0.25294592413236483,0.2486402095084609,0.004305714623903917,0.5827120993974297,0.1798596978187561,0.1756979155492146,0.3405583324393717
ppg_tune_balanced_phone_clean_male_s130,balanced_phone_clean_male,1.3,0.5,0.6551724137931034,0.06379328668117523,0.9108560993668612,1.0,0.6551724137931034,0.8432518566353981,1.1457462906837463,1.0025515258312225,0.1431947648525238,0.25294592413236483,0.2465130382049727,0.006432885927392135,0.5807497467071935,0.21881762146949768,0.1812918629382773,0.3450334903506218
ppg_tune_balanced_phone_clean_male_s160,balanced_phone_clean_male,1.6,0.5,0.6551724137931034,0.06677886843681335,0.9066840866488638,1.0,0.6551724137931034,0.8430223622218855,1.1457462906837463,0.9529741108417511,0.19277217984199524,0.25294592413236483,0.2469471601932514,0.005998763939113416,0.576115821468565,0.25777554512023926,0.1992362676333495,0.3531685780104882
ppg_tune_balanced_phone_clean_male_s070,balanced_phone_clean_male,0.7,0.5833333333333333,0.6551724137931034,0.06076400727033615,0.9150891746140962,1.0,0.6551724137931034,0.8411500728852663,1.1457462906837463,1.0901235342025757,0.055622756481170654,0.25294592413236483,0.2508969341161122,0.0020489900162526387,0.5855489788300539,0.14090178161859512,0.14179120591401875,0.313432964731215
ppg_tune_balanced_phone_clean_male_s040,balanced_phone_clean_male,0.4,0.5833333333333333,0.6551724137931034,0.060489023104310036,0.9154734338747051,1.0,0.6551724137931034,0.8407292122180148,1.1457462906837463,1.097752183675766,0.04799410700798035,0.25294592413236483,0.2534013605442177,-0.0004554364118528609,0.5855489788300539,0.10194388031959534,0.13532963738397133,0.3082637099071771
ppg_tune_raw_metric_male_s100,raw_metric_male,1.0,0.5833333333333333,0.41379310344827586,0.07852855138480663,0.8902652340755275,1.0,0.41379310344827586,0.7882854462421367,0.7743305563926697,0.7166523933410645,0.057678163051605225,0.16524540824201267,0.163687100433079,0.0015583078089336788,0.6259318509038554,0.18560461699962616,0.1620064629199956,0.32960517033599646
ppg_tune_raw_metric_male_s130,raw_metric_male,1.3,0.5833333333333333,0.41379310344827586,0.0804239958524704,0.8876165648805147,1.0,0.41379310344827586,0.7863118028576753,0.7743305563926697,0.7445005476474762,0.02983000874519348,0.16524540824201267,0.163853015978208,0.0013923922638046649,0.6266410707620114,0.22628600150346756,0.14561301184864248,0.316490409478914
ppg_tune_raw_metric_male_s160,raw_metric_male,1.6,0.5833333333333333,0.41379310344827586,0.08284498751163483,0.8842335029452233,1.0,0.41379310344827586,0.7855207844648506,0.7743305563926697,0.6994176805019379,0.07491287589073181,0.16524540824201267,0.1678887930358403,-0.002643384793827641,0.6266410707620114,0.26696741580963135,0.16326476629575365,0.3170378803888979
ppg_tune_raw_metric_male_s040,raw_metric_male,0.4,0.5833333333333333,0.41379310344827586,0.07630890980362892,0.8933669320573635,1.0,0.41379310344827586,0.781840581745276,0.7743305563926697,0.8646077811717987,-0.09027722477912903,0.16524540824201267,0.16603782473511552,-0.0007924164931028543,0.6294779501946355,0.10424184799194336,0.07175285051599903,0.2574022804127992
ppg_tune_raw_metric_male_s070,raw_metric_male,0.7,0.5833333333333333,0.3793103448275862,0.07700233161449432,0.8923979535296765,1.0,0.3793103448275862,0.7779060518817963,0.7743305563926697,0.7956297397613525,-0.02129918336868286,0.16524540824201267,0.16603782473511552,-0.0007924164931028543,0.6293126433104037,0.14492323994636536,0.11180618167324771,0.2894449453385982
