,Original source,FreeVC female,FreeVC male,Metric+phone female,Metric+phone male,PPG-tone female,PPG-tone male
Original source,1.0,0.25707304,0.1728233,0.07082425,0.06681535,0.071553364,0.06597873
FreeVC female,0.25707304,1.0,0.20364435,0.11473163,0.14787036,0.11660682,0.14695819
FreeVC male,0.1728233,0.20364435,1.0000001,0.57824713,0.6595616,0.579693,0.6597913
Metric+phone female,0.07082425,0.11473163,0.57824713,1.0,0.7711977,0.99973553,0.77096176
Metric+phone male,0.06681535,0.14787036,0.6595616,0.7711977,1.0,0.77069765,0.9997955
PPG-tone female,0.071553364,0.11660682,0.579693,0.99973553,0.77069765,1.0,0.770802
PPG-tone male,0.06597873,0.14695819,0.6597913,0.77096176,0.9997955,0.770802,1.0
